,Temperature,WindSpeed,Precipitation,WeatherCondition,solar_elevation,PV_pvlib,GHI,solar_noon,sunrise,sunset,sun_up
2024-09-17 00:00:00,10.2,4.7,0.0,3,-30.09811759181723,0.0,0.0,11,4,17,0
2024-09-17 01:00:00,9.2,5.4,0.0,3,-27.127818417333472,0.0,0.0,11,4,17,0
2024-09-17 02:00:00,10.2,2.6,0.0,3,-22.161263027844825,0.0,0.0,11,4,17,0
2024-09-17 03:00:00,9.9,1.3,0.0,3,-15.696693183631808,0.0,0.0,11,4,17,0
2024-09-17 04:00:00,10.1,1.3,0.0,3,-8.226347680554525,0.0,0.0,11,4,17,0
2024-09-17 05:00:00,10.1,1.8,0.0,3,0.25025938741973164,0.0,0.0,11,4,17,1
2024-09-17 06:00:00,9.7,1.0,0.0,3,7.9624689318143,0.0,0.0,11,4,17,1
2024-09-17 07:00:00,9.5,0.8,0.0,3,15.765049242118565,0.06990746864492368,17.0,11,4,17,1
2024-09-17 08:00:00,10.2,1.6,0.0,3,22.895330775423858,0.31389647331376436,56.0,11,4,17,1
2024-09-17 09:00:00,11.6,2.4,0.0,3,28.82319958073979,0.9611918695008129,141.0,11,4,17,1
2024-09-17 10:00:00,12.1,0.5,0.0,3,32.98406077607199,1.0836933957797987,181.0,11,4,17,1
2024-09-17 11:00:00,14.3,2.7,0.0,3,34.86480310010718,2.6591053411406973,353.0,11,4,17,1
2024-09-17 12:00:00,15.5,2.6,0.0,3,34.189572594951585,3.228546751677547,432.0,11,4,17,1
2024-09-17 13:00:00,16.3,2.3,0.0,3,31.05944676486331,3.117942465796944,440.0,11,4,17,1
2024-09-17 14:00:00,16.9,2.1,0.0,3,25.89769169768013,2.2426395225336386,355.0,11,4,17,1
2024-09-17 15:00:00,17.1,2.5,0.0,3,19.26205231701445,1.9471450791579774,328.0,11,4,17,1
2024-09-17 16:00:00,17.3,2.5,0.0,3,11.69972999302955,1.4818092019883105,324.0,11,4,17,1
2024-09-17 17:00:00,17.0,4.1,0.0,3,3.757988037074398,0.5863269579107723,183.0,11,4,17,1
2024-09-17 18:00:00,15.5,6.9,0.0,3,-4.511018381837545,0.2727561541184621,70.0,11,4,17,0
2024-09-17 19:00:00,14.2,9.4,0.0,3,-12.358577944530154,0.0,4.0,11,4,17,0
2024-09-17 20:00:00,13.2,7.3,0.0,2,-19.409957485137113,0.0,0.0,11,4,17,0
2024-09-17 21:00:00,12.6,6.2,0.0,2,-25.215479098163627,0.0,0.0,11,4,17,0
2024-09-17 22:00:00,12.2,5.7,0.0,0,-29.263108248835692,0.0,0.0,11,4,17,0
2024-09-17 23:00:00,11.1,5.8,0.0,0,-31.095710123905405,0.0,0.0,11,4,17,0
2024-09-18 00:00:00,10.1,7.2,0.0,3,-30.471163606466945,0.0,0.0,11,4,17,0
2024-09-18 01:00:00,10.2,4.1,0.0,3,-27.47615436120499,0.0,0.0,11,4,17,0
2024-09-18 02:00:00,10.2,5.4,0.0,3,-22.48341846097655,0.0,0.0,11,4,17,0
2024-09-18 03:00:00,9.7,6.2,0.0,3,-15.99655077593144,0.0,0.0,11,4,17,0
2024-09-18 04:00:00,9.8,4.5,0.0,3,-8.511565658129712,0.0,0.0,11,4,17,0
2024-09-18 05:00:00,9.7,4.2,0.0,3,0.020520538000226907,0.0,0.0,11,4,17,1
2024-09-18 06:00:00,9.6,4.3,0.0,3,7.6878142400503435,0.0,0.0,11,4,17,1
2024-09-18 07:00:00,9.9,4.8,0.0,3,15.47734569953002,0.0634798206711535,16.0,11,4,17,1
2024-09-18 08:00:00,11.0,5.4,0.0,3,22.588204114815696,0.41269228707752476,72.0,11,4,17,1
2024-09-18 09:00:00,12.5,5.6,0.0,3,28.49056685608332,1.4854544357558386,178.0,11,4,17,1
2024-09-18 10:00:00,15.1,4.7,0.0,0,32.62399552724746,3.2892931565858836,332.0,11,4,17,1
2024-09-18 11:00:00,17.5,4.8,0.0,0,34.48197210376456,4.558857030237593,479.0,11,4,17,1
2024-09-18 12:00:00,19.0,7.6,0.0,0,33.79438265856556,4.73040181005418,536.0,11,4,17,1
2024-09-18 13:00:00,19.6,9.1,0.0,0,30.66313521435528,4.413087458767233,545.0,11,4,17,1
2024-09-18 14:00:00,20.0,9.1,0.0,0,25.507533884724396,3.710319106441422,512.0,11,4,17,1
2024-09-18 15:00:00,19.6,9.8,0.0,1,18.88032385159289,2.707570553596741,441.0,11,4,17,1
2024-09-18 16:00:00,18.9,10.1,0.0,1,11.325831867657527,1.46048395233634,332.0,11,4,17,1
2024-09-18 17:00:00,17.7,9.4,0.0,1,3.399794745409423,0.4057646987817923,210.0,11,4,17,1
2024-09-18 18:00:00,15.9,8.5,0.0,2,-4.891501838779533,0.18327471302991524,82.0,11,4,17,0
2024-09-18 19:00:00,14.2,9.1,0.0,3,-12.739623141511856,0.0,5.0,11,4,17,0
2024-09-18 20:00:00,13.4,7.2,0.0,3,-19.798167699649355,0.0,0.0,11,4,17,0
2024-09-18 21:00:00,12.9,7.0,0.0,3,-25.610757023849175,0.0,0.0,11,4,17,0
2024-09-18 22:00:00,12.6,7.4,0.0,3,-29.66078461942088,0.0,0.0,11,4,17,0
2024-09-18 23:00:00,12.4,7.1,0.0,3,-31.486633588756874,0.0,0.0,11,4,17,0
2024-09-19 00:00:00,12.3,6.6,0.0,3,-30.844652050427555,0.0,0.0,11,5,17,0
2024-09-19 01:00:00,11.9,5.9,0.0,3,-27.824777031101533,0.0,0.0,11,5,17,0
2024-09-19 02:00:00,10.6,10.2,0.0,1,-22.805776849827083,0.0,0.0,11,5,17,0
2024-09-19 03:00:00,10.2,9.5,0.0,0,-16.296631700289893,0.0,0.0,11,5,17,0
2024-09-19 04:00:00,9.9,9.5,0.0,0,-8.797060085199575,0.0,0.0,11,5,17,0
2024-09-19 05:00:00,9.9,8.7,0.0,0,-0.42729803173868675,0.0,0.0,11,5,17,0
2024-09-19 06:00:00,9.6,8.7,0.0,3,7.412645498369983,0.0,0.0,11,5,17,1
2024-09-19 07:00:00,11.6,5.9,0.0,3,15.188761949989356,0.29474011835499975,27.0,11,5,17,1
2024-09-19 08:00:00,13.1,4.5,0.0,3,22.2800587354444,1.349515988197964,117.0,11,5,17,1
2024-09-19 09:00:00,15.4,4.0,0.0,0,28.15690720844418,2.5194345910384595,231.0,11,5,17,1
2024-09-19 10:00:00,17.6,4.6,0.0,0,32.26302364401492,3.293122411281566,334.0,11,5,17,1
2024-09-19 11:00:00,19.2,5.3,0.0,0,34.098418562374356,4.279849466525725,455.0,11,5,17,1
2024-09-19 12:00:00,20.1,6.1,0.0,0,33.398610218984174,4.492951984300257,514.0,11,5,17,1
2024-09-19 13:00:00,20.4,8.6,0.0,0,30.266292854925517,4.206146937484238,522.0,11,5,17,1
2024-09-19 14:00:00,19.8,9.7,0.0,0,25.11685517460367,3.5592549890817815,489.0,11,5,17,1
2024-09-19 15:00:00,19.5,9.4,0.0,0,18.49810814744221,2.572435978946401,418.0,11,5,17,1
2024-09-19 16:00:00,18.9,9.1,0.0,0,10.951600973741904,1.4081221058485178,323.0,11,5,17,1
2024-09-19 17:00:00,17.8,7.6,0.0,0,3.043096795274309,0.38077075515247977,200.0,11,5,17,1
2024-09-19 18:00:00,15.8,7.2,0.0,0,-5.271613073870725,0.16466233170661893,77.0,11,5,17,0
2024-09-19 19:00:00,14.1,8.4,0.0,0,-13.120997808788232,0.0,4.0,11,5,17,0
2024-09-19 20:00:00,13.2,8.2,0.0,0,-20.186767851642614,0.0,0.0,11,5,17,0
2024-09-19 21:00:00,12.9,7.4,0.0,0,-26.00649346412108,0.0,0.0,11,5,17,0
2024-09-19 22:00:00,12.8,7.3,0.0,0,-30.058971018993233,0.0,0.0,11,5,17,0
2024-09-19 23:00:00,12.7,7.5,0.0,0,-31.878038265198583,0.0,0.0,11,5,17,0
2024-09-20 00:00:00,12.6,7.0,0.0,0,-31.21849864828863,0.0,0.0,11,5,17,0
2024-09-20 01:00:00,11.2,8.0,0.0,0,-28.17361523206212,0.0,0.0,11,5,17,0
2024-09-20 02:00:00,10.6,9.4,0.0,0,-23.12828012995449,0.0,0.0,11,5,17,0
2024-09-20 03:00:00,10.1,10.1,0.0,0,-16.596889700359185,0.0,0.0,11,5,17,0
2024-09-20 04:00:00,10.1,9.7,0.0,0,-9.082799590653892,0.0,0.0,11,5,17,0
2024-09-20 05:00:00,10.3,8.6,0.0,0,-0.8054747273058922,0.0,0.0,11,5,17,0
2024-09-20 06:00:00,10.4,9.1,0.0,0,7.137018102017933,0.0,0.0,11,5,17,1
2024-09-20 07:00:00,12.4,5.4,0.0,3,14.899341335806582,0.35302345479475417,27.0,11,5,17,1
2024-09-20 08:00:00,14.0,6.5,0.0,3,21.970946191676433,1.4025296138715742,116.0,11,5,17,1
2024-09-20 09:00:00,15.9,7.9,0.0,1,27.822285075290402,2.21070993074296,213.0,11,5,17,1
2024-09-20 10:00:00,17.9,11.6,0.0,1,31.90122384389442,3.127852304039809,323.0,11,5,17,1
2024-09-20 11:00:00,19.2,10.7,0.0,0,33.7142346550313,4.014296285206273,430.0,11,5,17,1
2024-09-20 12:00:00,19.8,10.0,0.0,0,33.002359481879125,4.340377303822574,496.0,11,5,17,1
2024-09-20 13:00:00,20.1,10.1,0.0,0,29.86903410059903,4.242660831936629,521.0,11,5,17,1
2024-09-20 14:00:00,19.1,8.9,0.0,0,24.72577759521738,3.3859782864514494,469.0,11,5,17,1
2024-09-20 15:00:00,19.1,8.5,0.0,0,18.11553305573713,2.565933909005515,416.0,11,5,17,1
2024-09-20 16:00:00,18.7,7.9,0.0,0,10.577179176843472,1.3953103834483194,320.0,11,5,17,1
2024-09-20 17:00:00,17.8,7.0,0.0,0,2.6883967304847545,0.37138737236345554,196.0,11,5,17,1
2024-09-20 18:00:00,15.9,7.2,0.0,0,-5.651371169905772,0.15196585888802808,72.0,11,5,17,0
2024-09-20 19:00:00,14.1,7.6,0.0,0,-13.502577499820276,0.0,3.0,11,5,17,0
2024-09-20 20:00:00,13.2,7.2,0.0,0,-20.575633812914447,0.0,0.0,11,5,17,0
2024-09-20 21:00:00,12.7,6.8,0.0,0,-26.402570260808233,0.0,0.0,11,5,17,0
2024-09-20 22:00:00,11.1,7.4,0.0,0,-30.457558870579078,0.0,0.0,11,5,17,0
2024-09-20 23:00:00,10.5,8.5,0.0,3,-32.26982738554352,0.0,0.0,11,5,17,0
2024-09-21 00:00:00,11.1,4.6,0.0,3,-31.592619358224894,0.0,0.0,11,5,17,0
2024-09-21 01:00:00,11.3,5.1,0.0,3,-28.52259825161407,0.0,0.0,11,5,17,0
2024-09-21 02:00:00,11.4,4.6,0.0,3,-23.450870817088784,0.0,0.0,11,5,17,0
2024-09-21 03:00:00,10.9,4.3,0.0,3,-16.897278996973967,0.0,0.0,11,5,17,0
2024-09-21 04:00:00,10.4,4.4,0.0,3,-9.368752240991228,0.0,0.0,11,5,17,0
2024-09-21 05:00:00,9.8,4.3,0.0,3,-1.1438352705546464,0.0,0.0,11,5,17,0
2024-09-21 06:00:00,10.0,3.3,0.0,3,6.860989757612813,0.0,0.0,11,5,17,1
2024-09-21 07:00:00,10.5,4.0,0.0,3,14.609127991559006,0.03806428463989985,12.0,11,5,17,1
2024-09-21 08:00:00,11.6,4.9,0.0,3,21.66091892770241,0.5483492660391229,71.0,11,5,17,1
2024-09-21 09:00:00,12.9,5.0,0.0,3,27.486765847239134,0.9209852517787662,136.0,11,5,17,1
2024-09-21 10:00:00,14.3,4.7,0.0,3,31.53867571302969,1.8582610005641043,236.0,11,5,17,1
